geneSet,NES,FDR,Function,Datatype
GO:0007249,1.1691476924781601,0.3283131584293835,GO,FP254CTCdt
GO:0009615,1.1681132194112964,0.32884284885481702,GO,FP254CTCdt
GO:0046931,1.1671273545864425,0.32929688699355786,GO,FP254CTCdt
GO:0033555,1.1662267107165263,0.3296763745779366,GO,FP254CTCdt
GO:0007178,1.1645083698194827,0.3315529722595874,GO,FP254CTCdt
GO:0051098,-1.233703461,0.34090414063075386,GO,FP254CTCdt
GO:0001503,1.158305869267421,0.3409352393502868,GO,FP254CTCdt
GO:0007009,1.1590868972656392,0.34097658775011624,GO,FP254CTCdt
GO:0070585,-1.233973719,0.3425360855429936,GO,FP254CTCdt
GO:0071241,-1.234521784,0.34330929125499865,GO,FP254CTCdt
GO:0051339,1.149263850265195,0.34417135311291813,GO,FP254CTCdt
GO:0046717,1.1498686491028145,0.34439798090889095,GO,FP254CTCdt
GO:0071706,1.1519130572759808,0.34466711408587275,GO,FP254CTCdt
GO:0031589,1.151137344722487,0.34485753171739136,GO,FP254CTCdt
GO:0061448,1.1499749924099574,0.34578530794642798,GO,FP254CTCdt
GO:0097581,1.152081964001416,0.3458725864529716,GO,FP254CTCdt
GO:0046847,1.1551029612747001,0.3460960463963445,GO,FP254CTCdt
GO:0006066,-1.230441902,0.34649314450947399,GO,FP254CTCdt
GO:0032606,1.153182738290776,0.3467295843033981,GO,FP254CTCdt
GO:0031099,1.1540434165745468,0.34673617391471867,GO,FP254CTCdt
GO:0043113,1.1521274701277953,0.3474556990525035,GO,FP254CTCdt
GO:0070269,1.1454276888486496,0.3492228445161852,GO,FP254CTCdt
GO:0048483,1.1456373896635932,0.35037017306366103,GO,FP254CTCdt
