symbol	globalScore	gwasCredibleSets	geneBurden	eva	genomicsEngland	gene2Phenotype	uniprotLiterature	uniprotVariants	orphanet	clingen	cancerGeneCensus	intogen	evaSomatic	cancerBiomarkers	chembl	crisprScreen	crispr	reactome	europepmc	expressionAtlas	impc	maxClinicalTrialPhase	isInMembrane	isSecreted	hasLigand	hasSmallMoleculeBinder	hasPocket	mouseOrthologMaxIdentityPercentage	hasHighQualityChemicalProbes	geneticConstraint	mouseKoScore	geneEssentiality	hasSafetyEvent	isCancerDriverGene	paralogMaxIdentityPercentage	tissueSpecificity	tissueDistribution
RIN3	0.371527069414971	0.5729063157790465	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.7645500441162629	No data	No data	No data	0	0	0	0	0	0	No data	-0.18334252619966906	-0.2908093809317214	0	No data	No data	0	0.5	0
ZNF568	0.3479517922309904	0.572354277161133	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	No data	No data	0.12266960838389407	No data	0	-1	No data	0	-1	-1
ZFHX3	0.35333765816195545	0.5711405147608517	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.14543055636198005	0.12607087829013	No data	No data	0	0	0	0	0	0.7380499999999998	No data	-0.9627137341423055	-0.8181738194964627	0	No data	-1	0	-1	0
LRRC25	0.3662152921883535	0.5687078626371467	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6737697029929596	No data	No data	No data	0	0	0	0	0	0	No data	-0.6130170987313844	-0.8232841086965156	0	No data	No data	No data	0.75	0
FAM20B	0.3450893390042495	0.5663235124339282	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.012158615952232422	0.02104110117126057	No data	No data	0	0	0	0	0	0.8655250000000002	No data	-0.3643684500827358	-0.6749164843397661	0	No data	No data	0	-1	-1
SCIMP	0.345610296771423	0.5662248197566595	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.04555750340996372	No data	No data	No data	1	0	0	0	0	0	No data	0.4738003309431882	0	0	No data	No data	0	0.5	0
DDAH1	0.3495468182550756	0.5656110409890032	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.18733865732953284	No data	No data	No data	1	0	1	1	1	0.6842100000000002	No data	0.2950910093767236	-0.8814561065350524	0	No data	No data	0	0.5	0
IL6R	0.3548961753059121	0.5630802359567327	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.41394048108199516	No data	No data	1	1	1	0	0	0	0	No data	-0.0058466629895200795	-0.8533623799972719	0	-1	No data	0	0.5	-1
RABEP1	0.35179399895922775	0.5588865072879975	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.3533901652700552	0.0953279967108872	No data	No data	0	0	0	0	0	0.814385	No data	-0.6982901268615554	No data	0	No data	No data	0	-1	-1
DOCK3	0.3439066345804821	0.5575452996833739	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.16310000608081066	No data	No data	No data	0	0	0	0	0	0.9064050000000001	No data	-0.8881412024269167	-0.31973151269720335	0	No data	No data	0	0.5	0
ARMH3	0.33961783402133644	0.556973739036117	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.03343619386863916	No data	No data	No data	0	0	0	0	0	0.9274299999999996	No data	-0.34109211252068394	No data	0	No data	No data	No data	-1	-1
